"","Year","Avg.Temp","Crop","Yield","Entity","Code","Annual.precipitation"
"77",1986,7.8,"Rape or colza seed",3180.6,"United Kingdom","GBR",1119.2472
"78",1986,7.8,"Wheat",6965.9,"United Kingdom","GBR",1119.2472
"79",1987,8.21,"Barley",5043.7,"United Kingdom","GBR",1011.0468
"80",1987,8.21,"Rape or colza seed",3487.1,"United Kingdom","GBR",1011.0468
"81",1987,8.21,"Wheat",5988,"United Kingdom","GBR",1011.0468
"82",1988,8.92,"Barley",4637.9,"United Kingdom","GBR",1064.0234
"83",1988,8.92,"Rape or colza seed",2997.1,"United Kingdom","GBR",1064.0234
"84",1988,8.92,"Wheat",6214.2,"United Kingdom","GBR",1064.0234
"85",1989,9.39,"Barley",4883,"United Kingdom","GBR",961.2302
"86",1989,9.39,"Rape or colza seed",2953.3,"United Kingdom","GBR",961.2302
"87",1989,9.39,"Wheat",6736.9,"United Kingdom","GBR",961.2302
"88",1990,9.49,"Barley",5208.8,"United Kingdom","GBR",1047.456
"89",1990,9.49,"Rape or colza seed",3226.5,"United Kingdom","GBR",1047.456
"90",1990,9.49,"Wheat",6971.2,"United Kingdom","GBR",1047.456
"91",1991,8.73,"Barley",5474.3,"United Kingdom","GBR",912.19226
"92",1991,8.73,"Rape or colza seed",2916.8,"United Kingdom","GBR",912.19226
"93",1991,8.73,"Wheat",7251.9,"United Kingdom","GBR",912.19226
"94",1992,8.86,"Barley",5674.6,"United Kingdom","GBR",1090.4183
"95",1992,8.86,"Rape or colza seed",2881.2,"United Kingdom","GBR",1090.4183
"96",1992,8.86,"Wheat",6819.4,"United Kingdom","GBR",1090.4183
"97",1993,8.48,"Barley",5187.3,"United Kingdom","GBR",1036.6329
"98",1993,8.48,"Rape or colza seed",2599.1,"United Kingdom","GBR",1036.6329
"99",1993,8.48,"Wheat",7328.2,"United Kingdom","GBR",1036.6329
"100",1994,9.03,"Barley",5375.2,"United Kingdom","GBR",1078.0511
"101",1994,9.03,"Rape or colza seed",2530.2,"United Kingdom","GBR",1078.0511
"102",1994,9.03,"Wheat",7352,"United Kingdom","GBR",1078.0511
"103",1995,9.39,"Barley",5733.2,"United Kingdom","GBR",921.7514
"104",1995,9.39,"Rape or colza seed",2813.5,"United Kingdom","GBR",921.7514
"105",1995,9.39,"Wheat",7699.2,"United Kingdom","GBR",921.7514
"106",1996,8.39,"Barley",6109.5,"United Kingdom","GBR",876.0513
"107",1996,8.39,"Rape or colza seed",3412,"United Kingdom","GBR",876.0513
"108",1996,8.39,"Wheat",8131.5,"United Kingdom","GBR",876.0513
"109",1997,9.56,"Barley",5760.1,"United Kingdom","GBR",952.08606
"110",1997,9.56,"Rape or colza seed",3229.5,"United Kingdom","GBR",952.08606
"111",1997,9.56,"Wheat",7377.6,"United Kingdom","GBR",952.08606
"112",1998,9.3,"Barley",5285.7,"United Kingdom","GBR",1170.2332
"113",1998,9.3,"Rape or colza seed",2936.3,"United Kingdom","GBR",1170.2332
"114",1998,9.3,"Wheat",7554.2,"United Kingdom","GBR",1170.2332
"115",1999,9.5,"Barley",5581.8,"United Kingdom","GBR",1127.4917
"116",1999,9.5,"Rape or colza seed",3234.1,"United Kingdom","GBR",1127.4917
"117",1999,9.5,"Wheat",8049.5,"United Kingdom","GBR",1127.4917
"118",2000,9.23,"Barley",5755.3,"United Kingdom","GBR",1217.7625
"119",2000,9.23,"Rape or colza seed",2877.9,"United Kingdom","GBR",1217.7625
"120",2000,9.23,"Wheat",8007.5,"United Kingdom","GBR",1217.7625
"121",2001,9.01,"Barley",5349.4,"United Kingdom","GBR",979.2568
"122",2001,9.01,"Rape or colza seed",2563.5,"United Kingdom","GBR",979.2568
"123",2001,9.01,"Wheat",7082.7,"United Kingdom","GBR",979.2568
"124",2002,9.56,"Barley",5565.8,"United Kingdom","GBR",1131.2045
"125",2002,9.56,"Rape or colza seed",3397.9,"United Kingdom","GBR",1131.2045
"126",2002,9.56,"Wheat",8002.8,"United Kingdom","GBR",1131.2045
"127",2003,9.6,"Barley",5910.8,"United Kingdom","GBR",846.4629
"128",2003,9.6,"Rape or colza seed",3265.5,"United Kingdom","GBR",846.4629
"129",2003,9.6,"Wheat",7779.8,"United Kingdom","GBR",846.4629
"130",2004,9.46,"Barley",5758.7,"United Kingdom","GBR",1078.6027
"131",2004,9.46,"Rape or colza seed",2902.9,"United Kingdom","GBR",1078.6027
"132",2004,9.46,"Wheat",7775.4,"United Kingdom","GBR",1078.6027
"133",2005,9.48,"Barley",5858.2,"United Kingdom","GBR",969.3572
"134",2005,9.48,"Rape or colza seed",3193.6,"United Kingdom","GBR",969.3572
"135",2005,9.48,"Wheat",7960.9,"United Kingdom","GBR",969.3572
"136",2006,9.71,"Barley",5946.7,"United Kingdom","GBR",1052.4624
"137",2006,9.71,"Rape or colza seed",3285.9,"United Kingdom","GBR",1052.4624
"138",2006,9.71,"Wheat",8036.1,"United Kingdom","GBR",1052.4624
"139",2007,9.71,"Barley",5655.9,"United Kingdom","GBR",1076.5902
"140",2007,9.71,"Rape or colza seed",3093.8,"United Kingdom","GBR",1076.5902
"141",2007,9.71,"Wheat",7224.4,"United Kingdom","GBR",1076.5902
"142",2008,9.23,"Barley",5953.5,"United Kingdom","GBR",1161.6356
"143",2008,9.23,"Rape or colza seed",3298.9,"United Kingdom","GBR",1161.6356
"144",2008,9.23,"Wheat",8281.4,"United Kingdom","GBR",1161.6356
"145",2009,9.33,"Barley",5833.8,"United Kingdom","GBR",1078.571
"146",2009,9.33,"Rape or colza seed",3355.2,"United Kingdom","GBR",1078.571
"147",2009,9.33,"Wheat",7928.4,"United Kingdom","GBR",1078.571
"148",2010,8.21,"Barley",5702.5,"United Kingdom","GBR",874.48865
"149",2010,8.21,"Rape or colza seed",3476.1,"United Kingdom","GBR",874.48865
"150",2010,8.21,"Wheat",7674.6,"United Kingdom","GBR",874.48865
"151",2011,9.54,"Barley",5663.9,"United Kingdom","GBR",1026.4492
"152",2011,9.54,"Rape or colza seed",3914.9,"United Kingdom","GBR",1026.4492
"153",2011,9.54,"Wheat",7747.1,"United Kingdom","GBR",1026.4492
"154",2012,8.96,"Barley",5511,"United Kingdom","GBR",1224.9493
"155",2012,8.96,"Rape or colza seed",3383.1,"United Kingdom","GBR",1224.9493
"156",2012,8.96,"Wheat",6657.1,"United Kingdom","GBR",1224.9493
"157",2013,8.92,"Barley",5846.7,"United Kingdom","GBR",976.55945
"158",2013,8.92,"Rape or colza seed",2975.5,"United Kingdom","GBR",976.55945
"159",2013,8.92,"Wheat",7383.8,"United Kingdom","GBR",976.55945
"160",2014,9.96,"Barley",6399.1,"United Kingdom","GBR",1176.3936
"161",2014,9.96,"Rape or colza seed",3646.1,"United Kingdom","GBR",1176.3936
"162",2014,9.96,"Wheat",8578.6,"United Kingdom","GBR",1176.3936
"163",2015,9.23,"Barley",6693.9,"United Kingdom","GBR",1136.916
"164",2015,9.23,"Rape or colza seed",3898.8,"United Kingdom","GBR",1136.916
"165",2015,9.23,"Wheat",8976,"United Kingdom","GBR",1136.916
"166",2016,9.39,"Barley",5931.4,"United Kingdom","GBR",996.0411
"167",2016,9.39,"Rape or colza seed",3065.6,"United Kingdom","GBR",996.0411
"168",2016,9.39,"Wheat",7889.7,"United Kingdom","GBR",996.0411
"169",2017,9.65,"Barley",6090.9,"United Kingdom","GBR",1023.77045
"170",2017,9.65,"Rape or colza seed",3855.9,"United Kingdom","GBR",1023.77045
"171",2017,9.65,"Wheat",8279.6,"United Kingdom","GBR",1023.77045
"172",2018,9.54,"Barley",5720.6,"United Kingdom","GBR",972.3696
"173",2018,9.54,"Rape or colza seed",3451.1,"United Kingdom","GBR",972.3696
"174",2018,9.54,"Wheat",7754.6,"United Kingdom","GBR",972.3696
"175",2019,9.62,"Barley",6926,"United Kingdom","GBR",1144.0614
"176",2019,9.62,"Rape or colza seed",3305.7,"United Kingdom","GBR",1144.0614
"177",2019,9.62,"Wheat",8934.5,"United Kingdom","GBR",1144.0614
"178",2020,9.72,"Barley",5848,"United Kingdom","GBR",1181.3411
"179",2020,9.72,"Rape or colza seed",2731.6,"United Kingdom","GBR",1181.3411
"180",2020,9.72,"Wheat",6963.2,"United Kingdom","GBR",1181.3411
"181",2021,9.44,"Barley",6053,"United Kingdom","GBR",1062.8793
"182",2021,9.44,"Rape or colza seed",3189.7,"United Kingdom","GBR",1062.8793
"183",2021,9.44,"Wheat",7814.5,"United Kingdom","GBR",1062.8793
"184",2022,10.13,"Barley",6689.3,"United Kingdom","GBR",1031.2336
"185",2022,10.13,"Rape or colza seed",3731.8,"United Kingdom","GBR",1031.2336
"186",2022,10.13,"Wheat",8590.4,"United Kingdom","GBR",1031.2336
"187",2023,10.14,"Barley",6124,"United Kingdom","GBR",1178.6658
"188",2023,10.14,"Rape or colza seed",3109,"United Kingdom","GBR",1178.6658
"189",2023,10.14,"Wheat",8127.9,"United Kingdom","GBR",1178.6658
